species	biosystem_ncbi_gene_id	gene_symbol	gene_description	type_of_gene
Caenorhabditis elegans	171769	Y37E3.10	hypothetical protein	protein-coding
Caenorhabditis elegans	171770	Y37E3.11	hypothetical protein	protein-coding
Caenorhabditis elegans	171774	npp-13	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	171793	mcm-4	yeast MCM (licensing factor) related	protein-coding
Caenorhabditis elegans	171797	dot-1.1	DOT1 histone methyltransferase family	protein-coding
Caenorhabditis elegans	171801	did-2	Doa4-Independent Degradation, homologous to yeast Did2	protein-coding
Caenorhabditis elegans	171809	eif-3.I	Eukaryotic Initiation Factor	protein-coding
Caenorhabditis elegans	171811	Y23H5B.5	hypothetical protein	protein-coding
Caenorhabditis elegans	171821	cars-1	Cysteinyl Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	171829	cpz-1	CathePsin Z	protein-coding
Caenorhabditis elegans	171832	lin-17	hypothetical protein	protein-coding
Caenorhabditis elegans	171834	snr-7	Probable small nuclear ribonucleoprotein G	protein-coding
Caenorhabditis elegans	171838	plk-2	Serine/threonine-protein kinase plk-2	protein-coding
Caenorhabditis elegans	171839	Y71F9B.9	hypothetical protein	protein-coding
Caenorhabditis elegans	171849	pop-1	Protein pop-1	protein-coding
Caenorhabditis elegans	171850	W10C8.5	hypothetical protein	protein-coding
Caenorhabditis elegans	171865	trap-1	TRanslocon-Associated Protein	protein-coding
Caenorhabditis elegans	171866	nxt-1	NTF2-related eXporT protein	protein-coding
Caenorhabditis elegans	171877	rpb-7	RNA Polymerase II (B) subunit	protein-coding
Caenorhabditis elegans	171882	arx-7	Actin-related protein 2/3 complex subunit 5	protein-coding
Caenorhabditis elegans	171883	riok-1	Serine/threonine-protein kinase RIO1	protein-coding
Caenorhabditis elegans	171889	mrpl-17	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	171905	ace-2	Carboxylic ester hydrolase	protein-coding
Caenorhabditis elegans	171922	rnp-6	RNP (RRM RNA binding domain) containing	protein-coding
Caenorhabditis elegans	171933	ccb-1	Calcium Channel, Beta subunit	protein-coding
Caenorhabditis elegans	171935	rab-8	RAB family	protein-coding
Caenorhabditis elegans	171954	npp-11	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	171963	guk-1	GUanylate Kinase	protein-coding
Caenorhabditis elegans	171965	pgk-1	Probable phosphoglycerate kinase	protein-coding
Caenorhabditis elegans	171970	C50F2.3	hypothetical protein	protein-coding
Caenorhabditis elegans	171985	aars-2	Alanine--tRNA ligase, cytoplasmic	protein-coding
Caenorhabditis elegans	172027	mus-81	hypothetical protein	protein-coding
Caenorhabditis elegans	172030	acin-1	ACINus (mammalian Apoptotic Chromatin condensation Inducer in the Nucleus) homolog	protein-coding
Caenorhabditis elegans	172033	Y47D9A.1	hypothetical protein	protein-coding
Caenorhabditis elegans	172041	dhc-1	Dynein heavy chain, cytoplasmic	protein-coding
Caenorhabditis elegans	172044	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	protein-coding
Caenorhabditis elegans	172052	mrpl-19	Probable 39S ribosomal protein L19, mitochondrial	protein-coding
Caenorhabditis elegans	172062	rpl-24.1	60S ribosomal protein L24	protein-coding
Caenorhabditis elegans	172072	got-2.1	Aspartate aminotransferase	protein-coding
Caenorhabditis elegans	172078	unc-57	hypothetical protein	protein-coding
Caenorhabditis elegans	172081	W09C3.4	Probable DNA-directed RNA polymerase III subunit RPC6	protein-coding
Caenorhabditis elegans	172092	rpa-2	Replication Protein A homolog	protein-coding
Caenorhabditis elegans	172097	F54D7.2	hypothetical protein	protein-coding
Caenorhabditis elegans	172106	icmt-1	Protein-S-isoprenylcysteine O-methyltransferase	protein-coding
Caenorhabditis elegans	172110	imb-1	IMportin Beta family	protein-coding
Caenorhabditis elegans	172139	pas-3	Proteasome subunit alpha type-4	protein-coding
Caenorhabditis elegans	172145	mat-1	Metaphase-to-Anaphase Transition defect	protein-coding
Caenorhabditis elegans	172146	prp-31	yeast PRP (splicing factor) related	protein-coding
Caenorhabditis elegans	172148	mtm-1	MTM (myotubularin) family	protein-coding
Caenorhabditis elegans	172149	tyms-1	Thymidylate synthase	protein-coding
Caenorhabditis elegans	172156	npp-6	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	172157	slx-1	Structure-specific endonuclease subunit SLX1 homolog	protein-coding
Caenorhabditis elegans	172180	apm-1	AdaPtin, Mu/medium chain (clathrin associated complex)	protein-coding
Caenorhabditis elegans	172182	nath-10	N-acetyltransferase 10 homolog	protein-coding
Caenorhabditis elegans	172184	ppk-1	PIP Kinase	protein-coding
Caenorhabditis elegans	172192	F27C1.6	hypothetical protein	protein-coding
Caenorhabditis elegans	172214	M01E11.2	hypothetical protein	protein-coding
Caenorhabditis elegans	172216	vha-10	Probable V-type proton ATPase subunit G	protein-coding
Caenorhabditis elegans	172221	F46F11.1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	protein-coding
Caenorhabditis elegans	172224	F55F8.3	Periodic tryptophan protein 2 homolog	protein-coding
Caenorhabditis elegans	172244	cpb-3	Cytoplasmic polyadenylation element-binding protein 3	protein-coding
Caenorhabditis elegans	172246	mtk-1	MTK1/MEKK4 homolog	protein-coding
Caenorhabditis elegans	172258	F33D11.10	hypothetical protein	protein-coding
Caenorhabditis elegans	172262	pgp-2	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	172263	tyr-4	TYRosinase	protein-coding
Caenorhabditis elegans	172288	haf-9	HAlF transporter (PGP related)	protein-coding
Caenorhabditis elegans	172301	T09B4.8	hypothetical protein	protein-coding
Caenorhabditis elegans	172306	T05E7.3	hypothetical protein	protein-coding
Caenorhabditis elegans	172311	fars-1	Phenylalanyl Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	172313	rps-17	40S ribosomal protein S17	protein-coding
Caenorhabditis elegans	172324	C10G11.8	hypothetical protein	protein-coding
Caenorhabditis elegans	172330	F26B1.2	hypothetical protein	protein-coding
Caenorhabditis elegans	172344	rbx-2	yeast RBX (ring finger protein) homolog	protein-coding
Caenorhabditis elegans	172345	ncbp-1	Nuclear cap-binding protein subunit 1	protein-coding
Caenorhabditis elegans	172348	npp-12	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	172351	acdh-3	Acyl CoA DeHydrogenase	protein-coding
Caenorhabditis elegans	172369	F57B10.9	hypothetical protein	protein-coding
Caenorhabditis elegans	172370	dad-1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad-1	protein-coding
Caenorhabditis elegans	172371	tre-1	Trehalase	protein-coding
Caenorhabditis elegans	172373	bag-1	BAG family molecular chaperone regulator 1	protein-coding
Caenorhabditis elegans	172392	dhod-1	Dihydroorotate dehydrogenase (quinone), mitochondrial	protein-coding
Caenorhabditis elegans	172406	teg-4	Tumorous Enhancer of Glp-1(gf)	protein-coding
Caenorhabditis elegans	172408	ahcy-1	Adenosylhomocysteinase	protein-coding
Caenorhabditis elegans	172412	rpb-5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	protein-coding
Caenorhabditis elegans	172420	C48B6.2	Putative 40S ribosomal protein S4-like	protein-coding
Caenorhabditis elegans	172423	T10B11.2	Ceramide kinase 1	protein-coding
Caenorhabditis elegans	172430	idhg-2	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	protein-coding
Caenorhabditis elegans	172433	pdi-3	Protein disulfide-isomerase	protein-coding
Caenorhabditis elegans	172434	ubql-1	UBiQuiLin	protein-coding
Caenorhabditis elegans	172451	taf-11.2	TAF (TBP-associated transcription factor) family	protein-coding
Caenorhabditis elegans	172457	M05B5.4	hypothetical protein	protein-coding
Caenorhabditis elegans	172466	adsl-1	Adenylosuccinate lyase	protein-coding
Caenorhabditis elegans	172479	mrpl-13	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	172486	F52A8.5	hypothetical protein	protein-coding
Caenorhabditis elegans	172508	chs-1	CHitin Synthase	protein-coding
Caenorhabditis elegans	172509	T25G3.4	Probable glycerol-3-phosphate dehydrogenase, mitochondrial	protein-coding
Caenorhabditis elegans	172514	mce-1	Methylmalonyl-CoA Epimerase	protein-coding
Caenorhabditis elegans	172515	prg-1	Piwi-like protein	protein-coding
Caenorhabditis elegans	172539	tag-173	hypothetical protein	protein-coding
Caenorhabditis elegans	172547	glna-3	Putative glutaminase 3	protein-coding
Caenorhabditis elegans	172552	taf-5	TAF (TBP-associated transcription factor) family	protein-coding
Caenorhabditis elegans	172586	cdc-48.3	Cell Division Cycle related	protein-coding
Caenorhabditis elegans	172587	ath-1	Acyl protein THioesterase family	protein-coding
Caenorhabditis elegans	172610	kin-10	Casein kinase II subunit beta	protein-coding
Caenorhabditis elegans	172617	rpl-25.2	60S ribosomal protein L23a 2	protein-coding
Caenorhabditis elegans	172624	ngp-1	Nuclear/nucleolar GTP-binding Protein family	protein-coding
Caenorhabditis elegans	172627	F02E9.7	hypothetical protein	protein-coding
Caenorhabditis elegans	172639	cdc-5L	Cell Division Cycle related	protein-coding
Caenorhabditis elegans	172641	sec-12	yeast SEC homolog	protein-coding
Caenorhabditis elegans	172643	K02B12.7	hypothetical protein	protein-coding
Caenorhabditis elegans	172650	R05D11.9	hypothetical protein	protein-coding
Caenorhabditis elegans	172652	snrp-27	Small Nuclear RibonucleoProtein homolog	protein-coding
Caenorhabditis elegans	172657	cfim-1	Cleavage Factor IM (CFIm) homolog	protein-coding
Caenorhabditis elegans	172663	syx-17	SYntaXin	protein-coding
Caenorhabditis elegans	172672	K07A12.4	hypothetical protein	protein-coding
Caenorhabditis elegans	172679	pas-4	Proteasome subunit alpha type-7	protein-coding
Caenorhabditis elegans	172680	rpb-3	RNA Polymerase II (B) subunit	protein-coding
Caenorhabditis elegans	172681	dhfr-1	Putative dihydrofolate reductase	protein-coding
Caenorhabditis elegans	172697	ubr-5	UBR E3 ubiquitin ligase homolog	protein-coding
Caenorhabditis elegans	172704	T08G11.4	hypothetical protein	protein-coding
Caenorhabditis elegans	172713	thoc-3	THO Complex (transcription factor/nuclear export) subunit	protein-coding
Caenorhabditis elegans	172715	fasn-1	Fatty Acid SyNthase	protein-coding
Caenorhabditis elegans	172718	syx-7	SYntaXin	protein-coding
Caenorhabditis elegans	172726	hgo-1	Homogentisate 1,2-dioxygenase	protein-coding
Caenorhabditis elegans	172728	rad-54	hypothetical protein	protein-coding
Caenorhabditis elegans	172735	gld-4	Poly(A) RNA polymerase gld-4	protein-coding
Caenorhabditis elegans	172737	mel-26	Protein maternal effect lethal 26	protein-coding
Caenorhabditis elegans	172744	pyk-1	Pyruvate kinase	protein-coding
Caenorhabditis elegans	172751	hxk-1	Hexokinase	protein-coding
Caenorhabditis elegans	172754	nmat-2	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2	protein-coding
Caenorhabditis elegans	172756	F26H9.5	Probable phosphoserine aminotransferase	protein-coding
Caenorhabditis elegans	172757	hsp-70	Heat Shock Protein	protein-coding
Caenorhabditis elegans	172759	cbl-1	Cystathionine Beta Lyase	protein-coding
Caenorhabditis elegans	172768	pabp-2	PolyA Binding Protein (nuclear)	protein-coding
Caenorhabditis elegans	172780	F30A10.9	hypothetical protein	protein-coding
Caenorhabditis elegans	172794	dut-1	DeoxyUTPase	protein-coding
Caenorhabditis elegans	172799	ile-1	Intracellular LEctin	protein-coding
Caenorhabditis elegans	172805	rps-19	40S ribosomal protein S19	protein-coding
Caenorhabditis elegans	172813	npp-14	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	172815	rpl-24.2	Probable ribosome biogenesis protein RLP24	protein-coding
Caenorhabditis elegans	172818	rpl-14	Ribosomal Protein, Large subunit	protein-coding
Caenorhabditis elegans	172826	sur-6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B	protein-coding
Caenorhabditis elegans	172833	hrdl-1	E3 ubiquitin-protein ligase hrd-like protein 1	protein-coding
Caenorhabditis elegans	172838	K10C3.5	hypothetical protein	protein-coding
Caenorhabditis elegans	172847	epg-8	Ectopic P Granules	protein-coding
Caenorhabditis elegans	172856	mom-5	More Of MS	protein-coding
Caenorhabditis elegans	172858	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	protein-coding
Caenorhabditis elegans	172867	ercc-1	ERCC (DNA excision repair protein) homolog	protein-coding
Caenorhabditis elegans	172869	F10G8.9	hypothetical protein	protein-coding
Caenorhabditis elegans	172886	rsa-1	Regulator of Spindle Assembly	protein-coding
Caenorhabditis elegans	172891	csnk-1	Casein kinase I gamma	protein-coding
Caenorhabditis elegans	172902	ZC434.4	Ribosomal RNA-processing protein 7 homolog	protein-coding
Caenorhabditis elegans	172904	ears-1	glutamyl(E) Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	172907	ZC434.8	Probable arginine kinase ZC434.8	protein-coding
Caenorhabditis elegans	172914	mgl-2	Metabotropic GLutamate receptor family	protein-coding
Caenorhabditis elegans	172915	cup-2	Derlin-1	protein-coding
Caenorhabditis elegans	172939	ndk-1	Nucleoside diphosphate kinase	protein-coding
Caenorhabditis elegans	172941	ubc-25	Ubiquitin-conjugating enzyme E2 25	protein-coding
Caenorhabditis elegans	172943	rla-0	60S acidic ribosomal protein P0	protein-coding
Caenorhabditis elegans	172959	eif-3.E	Eukaryotic translation initiation factor 3 subunit E	protein-coding
Caenorhabditis elegans	172969	C34B2.8	hypothetical protein	protein-coding
Caenorhabditis elegans	172979	B0205.6	hypothetical protein	protein-coding
Caenorhabditis elegans	172986	marc-6	MARCH (Membrane-Associated Ring finger (C3HC4)) homolog	protein-coding
Caenorhabditis elegans	172999	prp-17	yeast PRP (splicing factor) related	protein-coding
Caenorhabditis elegans	173002	Y52B11A.3	hypothetical protein	protein-coding
Caenorhabditis elegans	173013	rsr-1	SR protein related	protein-coding
Caenorhabditis elegans	173028	png-1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	protein-coding
Caenorhabditis elegans	173065	dnj-27	DNaJ domain (prokaryotic heat shock protein)	protein-coding
Caenorhabditis elegans	173067	Y47H9C.7	hypothetical protein	protein-coding
Caenorhabditis elegans	173072	ubc-12	NEDD8-conjugating enzyme ubc-12	protein-coding
Caenorhabditis elegans	173075	fdps-1	Farnesyl DiPhosphate Synthetase	protein-coding
Caenorhabditis elegans	173100	C15C6.4	hypothetical protein	protein-coding
Caenorhabditis elegans	173117	pars-2	Prolyl Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	173118	T27F6.6	Putative neutral sphingomyelinase	protein-coding
Caenorhabditis elegans	173120	asah-1	Acid ceramidase	protein-coding
Caenorhabditis elegans	173122	pri-2	DNA PRImase homolog	protein-coding
Caenorhabditis elegans	173137	par-6	Partitioning defective protein 6	protein-coding
Caenorhabditis elegans	173143	vps-25	related to yeast Vacuolar Protein Sorting factor	protein-coding
Caenorhabditis elegans	173162	acox-1	Acyl-coenzyme A oxidase	protein-coding
Caenorhabditis elegans	173164	F08A8.4	Acyl-coenzyme A oxidase	protein-coding
Caenorhabditis elegans	173169	eif-6	Eukaryotic translation initiation factor 6	protein-coding
Caenorhabditis elegans	173171	gale-1	UDP-GALactose 4-Epimerase	protein-coding
Caenorhabditis elegans	173200	pde-1	PhosphoDiEsterase	protein-coding
Caenorhabditis elegans	173202	gcy-35	Guanylyl CYclase	protein-coding
Caenorhabditis elegans	173203	W08E3.2	hypothetical protein	protein-coding
Caenorhabditis elegans	173204	snr-2	Probable small nuclear ribonucleoprotein-associated protein B	protein-coding
Caenorhabditis elegans	173213	eif-3.J	Eukaryotic Initiation Factor	protein-coding
Caenorhabditis elegans	173220	Y48G10A.1	hypothetical protein	protein-coding
Caenorhabditis elegans	173224	glp-4	Valine--tRNA ligase	protein-coding
Caenorhabditis elegans	173228	ubc-14	UBiquitin Conjugating enzyme	protein-coding
Caenorhabditis elegans	173231	agef-1	Arf-1 Guanine nucleotide Exchange Factor homolog	protein-coding
Caenorhabditis elegans	173235	rpl-31	60S ribosomal protein L31	protein-coding
Caenorhabditis elegans	173241	Y6B3B.5	hypothetical protein	protein-coding
Caenorhabditis elegans	173272	gpdh-1	Glycerol-3-phosphate dehydrogenase [NAD(+)]	protein-coding
Caenorhabditis elegans	173278	dnj-29	DNaJ domain (prokaryotic heat shock protein)	protein-coding
Caenorhabditis elegans	173279	Y63D3A.7	hypothetical protein	protein-coding
Caenorhabditis elegans	173298	Y105E8A.2	hypothetical protein	protein-coding
Caenorhabditis elegans	173304	apg-1	AdaPtin, Gamma chain (clathrin associated complex)	protein-coding
Caenorhabditis elegans	173305	hpo-13	Non-lysosomal glucosylceramidase	protein-coding
Caenorhabditis elegans	173309	rps-20	Ribosomal Protein, Small subunit	protein-coding
Caenorhabditis elegans	173311	yars-1	Tyrosine--tRNA ligase	protein-coding
Caenorhabditis elegans	173312	Y105E8A.20	hypothetical protein	protein-coding
Caenorhabditis elegans	173322	riok-2	Serine/threonine-protein kinase RIO2	protein-coding
Caenorhabditis elegans	173323	hprt-1	Hypoxanthine PhosphoRibosylTransferase homolog	protein-coding
Caenorhabditis elegans	173326	Y105E8B.9	hypothetical protein	protein-coding
Caenorhabditis elegans	173327	ttm-5	Putative sphingolipid delta(4)-desaturase/C4-monooxygenase	protein-coding
Caenorhabditis elegans	173341	dnj-12	DNaJ domain (prokaryotic heat shock protein)	protein-coding
Caenorhabditis elegans	173354	ubc-16	UBiquitin Conjugating enzyme	protein-coding
Caenorhabditis elegans	173368	pole-1	DNA polymerase	protein-coding
Caenorhabditis elegans	173370	dog-1	Deletions Of G-rich DNA	protein-coding
Caenorhabditis elegans	173383	F23F1.5	Snurportin-1	protein-coding
Caenorhabditis elegans	173388	tre-5	Trehalase	protein-coding
Caenorhabditis elegans	173389	sptl-1	Serine Palmitoyl Transferase famiLy	protein-coding
Caenorhabditis elegans	173393	C50D2.7	Probable ADP-dependent glucokinase	protein-coding
Caenorhabditis elegans	173394	C50D2.5	Splicing factor 3B subunit 6-like protein	protein-coding
Caenorhabditis elegans	173400	mrpl-28	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	173405	chs-2	CHitin Synthase	protein-coding
Caenorhabditis elegans	173440	prp-21	yeast PRP (splicing factor) related	protein-coding
Caenorhabditis elegans	173460	thoc-1	THO Complex (transcription factor/nuclear export) subunit	protein-coding
Caenorhabditis elegans	173466	acdh-9	Acyl CoA DeHydrogenase	protein-coding
Caenorhabditis elegans	173498	taf-6.1	TAF (TBP-associated transcription factor) family	protein-coding
Caenorhabditis elegans	173500	pod-2	hypothetical protein	protein-coding
Caenorhabditis elegans	173510	alh-6	ALdehyde deHydrogenase	protein-coding
Caenorhabditis elegans	173517	Y51H7C.7	hypothetical protein	protein-coding
Caenorhabditis elegans	173519	Y51H7C.9	hypothetical protein	protein-coding
Caenorhabditis elegans	173520	nol-6	NucleOLar protein	protein-coding
Caenorhabditis elegans	173574	gba-1	Putative glucosylceramidase 1	protein-coding
Caenorhabditis elegans	173602	mnat-1	MNAT (menage a trois) TFIIH subunit	protein-coding
Caenorhabditis elegans	173606	usp-39	Ubiquitin Specific Protease	protein-coding
Caenorhabditis elegans	173618	F29A7.6	Protein F29A7.6	protein-coding
Caenorhabditis elegans	173631	ptc-3	PaTChed family	protein-coding
Caenorhabditis elegans	173637	ubc-15	UBiquitin Conjugating enzyme	protein-coding
Caenorhabditis elegans	173657	Y25C1A.13	hypothetical protein	protein-coding
Caenorhabditis elegans	173734	F53C3.13	hypothetical protein	protein-coding
Caenorhabditis elegans	173747	R11F4.1	Probable glycerol kinase	protein-coding
Caenorhabditis elegans	173762	C01F1.3	hypothetical protein	protein-coding
Caenorhabditis elegans	173767	mog-2	Probable U2 small nuclear ribonucleoprotein A'	protein-coding
Caenorhabditis elegans	173772	pacs-1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	protein-coding
Caenorhabditis elegans	173773	ntl-2	NOT-Like (yeast CCR4/NOT complex component)	protein-coding
Caenorhabditis elegans	173777	tag-231	hypothetical protein	protein-coding
Caenorhabditis elegans	173779	toe-1	HEAT repeat-containing protein 1 homolog	protein-coding
Caenorhabditis elegans	173784	W06B4.2	hypothetical protein	protein-coding
Caenorhabditis elegans	173818	F41C3.5	Uncharacterized serine carboxypeptidase F41C3.5	protein-coding
Caenorhabditis elegans	173838	mpst-4	Putative thiosulfate sulfurtransferase mpst-4	protein-coding
Caenorhabditis elegans	173843	R05F9.6	hypothetical protein	protein-coding
Caenorhabditis elegans	173876	pld-1	PhosphoLipase D	protein-coding
Caenorhabditis elegans	173880	mpk-2	Mitogen-activated protein kinase	protein-coding
Caenorhabditis elegans	173894	dsh-1	DiSHevelled related	protein-coding
Caenorhabditis elegans	173902	gcy-12	Receptor-type guanylate cyclase gcy-12	protein-coding
Caenorhabditis elegans	173904	vhp-1	Tyrosine-protein phosphatase vhp-1	protein-coding
Caenorhabditis elegans	173911	F09E5.3	Putative deoxyribose-phosphate aldolase	protein-coding
Caenorhabditis elegans	173912	algn-2	Asparagine Linked Glycosylation (ALG) homolog, Nematode	protein-coding
Caenorhabditis elegans	173914	pkc-3	Protein kinase C-like 3	protein-coding
Caenorhabditis elegans	173915	rsp-4	Probable splicing factor, arginine/serine-rich 4	protein-coding
Caenorhabditis elegans	173916	ndx-6	Putative nudix hydrolase 6	protein-coding
Caenorhabditis elegans	173920	mog-5	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase mog-5	protein-coding
Caenorhabditis elegans	173927	F07F6.4	hypothetical protein	protein-coding
Caenorhabditis elegans	173929	nmr-1	NMDA class glutamate Receptor	protein-coding
Caenorhabditis elegans	173956	zyg-1	Probable serine/threonine-protein kinase zyg-1	protein-coding
Caenorhabditis elegans	173979	acdh-8	Acyl CoA DeHydrogenase	protein-coding
Caenorhabditis elegans	173985	ehs-1	Eps15 (endocytosis protein) Homologous Sequence	protein-coding
Caenorhabditis elegans	173998	rfip-1	Rab-11 Family Interacting-Protein	protein-coding
Caenorhabditis elegans	174000	vps-35	Vacuolar protein sorting-associated protein 35	protein-coding
Caenorhabditis elegans	174001	cgt-3	Ceramide glucosyltransferase 3	protein-coding
Caenorhabditis elegans	174010	R12C12.5	hypothetical protein	protein-coding
Caenorhabditis elegans	174012	R12C12.1	hypothetical protein	protein-coding
Caenorhabditis elegans	174023	rars-2	arginyl(R) Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	174027	cpb-2	Cytoplasmic polyadenylation element-binding protein 2	protein-coding
Caenorhabditis elegans	174033	T24H7.2	hypothetical protein	protein-coding
Caenorhabditis elegans	174038	F13H8.2	hypothetical protein	protein-coding
Caenorhabditis elegans	174040	upb-1	UreidoPropionase Beta	protein-coding
Caenorhabditis elegans	174044	sma-6	Serine/threonine-protein kinase sma-6	protein-coding
Caenorhabditis elegans	174059	F58F12.1	ATP synthase subunit delta, mitochondrial	protein-coding
Caenorhabditis elegans	174067	atg-16.2	Autophagic-related protein 16.2	protein-coding
Caenorhabditis elegans	174068	dgk-5	Putative diacylglycerol kinase K06A1.6	protein-coding
Caenorhabditis elegans	174072	snr-3	Probable small nuclear ribonucleoprotein Sm D1	protein-coding
Caenorhabditis elegans	174091	vps-32.1	related to yeast Vacuolar Protein Sorting factor	protein-coding
Caenorhabditis elegans	174127	pmp-2	Peroxisomal Membrane Protein related	protein-coding
Caenorhabditis elegans	174138	ppp-1	Probable translation initiation factor eIF-2B subunit gamma	protein-coding
Caenorhabditis elegans	174140	art-1	Probable very-long-chain enoyl-CoA reductase art-1	protein-coding
Caenorhabditis elegans	174150	tcer-1	TransCription Elongation Regulator homolog	protein-coding
Caenorhabditis elegans	174156	acs-6	fatty Acid CoA Synthetase family	protein-coding
Caenorhabditis elegans	174159	kars-1	Lysine--tRNA ligase	protein-coding
Caenorhabditis elegans	174175	fust-1	FUS/TLS RNA binding protein homolog	protein-coding
Caenorhabditis elegans	174180	acdh-12	Acyl CoA DeHydrogenase	protein-coding
Caenorhabditis elegans	174192	prx-13	Probable peroxisomal membrane protein PEX13	protein-coding
Caenorhabditis elegans	174193	lsm-4	Probable U6 snRNA-associated Sm-like protein LSm4	protein-coding
Caenorhabditis elegans	174208	rpb-4	RNA Polymerase II (B) subunit	protein-coding
Caenorhabditis elegans	174217	ubc-6	UBiquitin Conjugating enzyme	protein-coding
Caenorhabditis elegans	174232	npp-21	Nuclear Pore complex Protein	protein-coding
Caenorhabditis elegans	174233	cdc-42	Cell division control protein 42 homolog	protein-coding
Caenorhabditis elegans	174235	pde-4	PhosphoDiEsterase	protein-coding
Caenorhabditis elegans	174238	rpa-1	Probable replication factor A 73 kDa subunit	protein-coding
Caenorhabditis elegans	174252	B0228.7	S-methyl-5'-thioadenosine phosphorylase	protein-coding
Caenorhabditis elegans	174254	mthf-1	Probable methylenetetrahydrofolate reductase	protein-coding
Caenorhabditis elegans	174257	skr-17	SKp1 Related (ubiquitin ligase complex component)	protein-coding
Caenorhabditis elegans	174268	ostb-1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	protein-coding
Caenorhabditis elegans	174272	vha-4	Vacuolar H ATPase	protein-coding
Caenorhabditis elegans	174274	ptc-1	Protein patched homolog 1	protein-coding
