entry_stable_id	entry_name	species	ncbi_gene_id	observation_stable_id	homologene_id	base_entry_stable_ids
AF_010085	PEX16	Homo sapiens	9409	OB_008245	3537	AF_007639
AF_010086	NCU01850	Neurospora crassa	3880033	OB_008245	3537	AF_007639
AF_010087	MGG_09011	Magnaporthe oryzae	2680134	OB_008245	3537	AF_007639
AF_010088	pex16	Danio rerio	573990	OB_008245	3537	AF_007639
AF_010089	MRE11A	Canis lupus familiaris	494006	OB_008246	4083	AF_001225
AF_001008	SSP120	Saccharomyces cerevisiae	850952	OB_008431	31795	AF_001008
AF_010090	mre-11	Caenorhabditis elegans	179488	OB_008246	4083	AF_001225
AF_010091	Mre11a	Mus musculus	17535	OB_008246	4083	AF_001225
AF_010092	MRE11A	Pan troglodytes	737902	OB_008246	4083	AF_001225
AF_010093	AGOS_AFR553C	Eremothecium gossypii	4622380	OB_008246	4083	AF_001225
AF_010094	MRE11A	Macaca mulatta	697566	OB_008246	4083	AF_001225
AF_010095	AgaP_AGAP006797	Anopheles gambiae	1270268	OB_008246	4083	AF_001225
AF_010096	mre11a	Danio rerio	406637	OB_008246	4083	AF_001225
AF_010097	mre11	Drosophila melanogaster	34565	OB_008246	4083	AF_001225
AF_010098	Mre11a	Rattus norvegicus	64046	OB_008246	4083	AF_001225
AF_010099	MRE11A	Bos taurus	525093	OB_008246	4083	AF_001225
AF_001009	MRPL4	Saccharomyces cerevisiae	851160	OB_008966	39816	AF_001009
AF_010100	Os04g0635900	Oryza sativa	4337137	OB_008246	4083	AF_001225
AF_010101	MRE11A	Homo sapiens	4361	OB_008246	4083	AF_001225
AF_010102	KLLA0C06930g	Kluyveromyces lactis	2892523	OB_008246	4083	AF_001225
AF_010103	MRE11A	Gallus gallus	395555	OB_008246	4083	AF_001225
AF_010104	rad32	Schizosaccharomyces pombe	2542757	OB_008246	4083	AF_001225
AF_010105	NCU08730	Neurospora crassa	3879754	OB_008246	4083	AF_001225
AF_010106	MRE11	Arabidopsis thaliana	835514	OB_008246	4083	AF_001225
AF_010107	MGG_09555	Magnaporthe oryzae	2680453	OB_008246	4083	AF_001225
AF_010108	CBC2	Saccharomyces cerevisiae	855925	OB_008247	103828	AF_005151
AF_010109	AGOS_AFL050W	Eremothecium gossypii	4621730	OB_008247	103828	AF_005151
AF_001010	RPS1A	Saccharomyces cerevisiae	851162	OB_008514	68112	AF_001010||AF_001638
AF_010110	NCBP2_ANOGA	Anopheles gambiae	3290635	OB_008247	103828	AF_005151
AF_010111	NCBP2	Gallus gallus	422214	OB_008247	103828	AF_005151
AF_010112	Cbp20	Drosophila melanogaster	42166	OB_008247	103828	AF_005151
AF_010113	KLLA0B10472g	Kluyveromyces lactis	2896947	OB_008247	103828	AF_005151
AF_010114	NCU00210	Neurospora crassa	3872742	OB_008247	103828	AF_005151
AF_010115	SPBC13A2.01c	Schizosaccharomyces pombe	2539791	OB_008247	103828	AF_005151
AF_010116	MGG_06296	Magnaporthe oryzae	2684451	OB_008247	103828	AF_005151
AF_010117	RPL9	Bos taurus	282884	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010118	AT1G33120	Arabidopsis thaliana	840208	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010119	RPL9	Canis lupus familiaris	479109	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_001011	cers5	Danio rerio	323020	OB_009113	23634	AF_006797
AF_010120	NCU02744	Neurospora crassa	3881278	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010121	RPL9	Gallus gallus	425468	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010122	LOC718478	Macaca mulatta	718478	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010123	Os09g0485900	Oryza sativa	4347422	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010124	MGG_04829	Magnaporthe oryzae	2678056	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010125	PGY2	Arabidopsis thaliana	840211	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010126	RPL9	Pan troglodytes	737526	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010127	AgaP_AGAP009508	Anopheles gambiae	1271403	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010128	KLLA0E09109g	Kluyveromyces lactis	2894230	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010129	KLLA0F04499g	Kluyveromyces lactis	2894979	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_001012	LAG1	Saccharomyces cerevisiae	856386	OB_008513	101614	AF_001012||AF_008953
AF_010130	AGOS_ADL290W	Eremothecium gossypii	4619941	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010131	Os02g0103700	Oryza sativa	4327999	OB_008248	90855	AF_004854||AF_008675||AF_000995
AF_010132	AgaP_AGAP002690	Anopheles gambiae	1273271	OB_008249	37483	AF_000582||AF_007186
AF_010133	XRCC6	Macaca mulatta	707975	OB_008249	37483	AF_000582||AF_007186
AF_010134	XRCC6	Pan troglodytes	465902	OB_008249	37483	AF_000582||AF_007186
AF_010135	KLLA0C06226g	Kluyveromyces lactis	2892291	OB_008249	37483	AF_000582||AF_007186
AF_010136	XRCC6	Bos taurus	510132	OB_008249	37483	AF_000582||AF_007186
AF_010137	Os07g0184900	Oryza sativa	4342584	OB_008249	37483	AF_000582||AF_007186
AF_010138	NCU08290	Neurospora crassa	3878669	OB_008249	37483	AF_000582||AF_007186
AF_010139	MGG_01512	Magnaporthe oryzae	2679155	OB_008249	37483	AF_000582||AF_007186
AF_010140	XRCC6	Gallus gallus	395767	OB_008249	37483	AF_000582||AF_007186
AF_010141	LOC100536337	Danio rerio	100536337	OB_008249	37483	AF_000582||AF_007186
AF_010142	XRCC6	Canis lupus familiaris	474485	OB_008249	37483	AF_000582||AF_007186
AF_010143	AgaP_AGAP000705	Anopheles gambiae	1272293	OB_008250	38295	AF_007466||AF_007737
AF_010144	PARK7	Bos taurus	511268	OB_008250	38295	AF_007466||AF_007737
AF_010145	PARK7	Canis lupus familiaris	479595	OB_008250	38295	AF_007466||AF_007737
AF_010146	Os01g0217800	Oryza sativa	4324581	OB_008250	38295	AF_007466||AF_007737
AF_010147	PARK7	Gallus gallus	395277	OB_008250	38295	AF_007466||AF_007737
AF_010148	PARK7	Pan troglodytes	746063	OB_008250	38295	AF_007466||AF_007737
AF_010149	l(2)37Cc	Drosophila melanogaster	49168	OB_008251	1980	AF_005733||AF_008661
AF_010150	AGOS_AFR313C	Eremothecium gossypii	4622124	OB_008251	1980	AF_005733||AF_008661
AF_010151	MGG_06004	Magnaporthe oryzae	2683971	OB_008251	1980	AF_005733||AF_008661
AF_010152	PHB	Bos taurus	530409	OB_008251	1980	AF_005733||AF_008661
AF_010153	KLLA0D16302g	Kluyveromyces lactis	2893208	OB_008251	1980	AF_005733||AF_008661
AF_010154	PHB	Macaca mulatta	699334	OB_008251	1980	AF_005733||AF_008661
AF_010155	PHB	Canis lupus familiaris	480547	OB_008251	1980	AF_005733||AF_008661
AF_010156	Os04g0462900	Oryza sativa	4336070	OB_008251	1980	AF_005733||AF_008661
AF_010157	PHB	Gallus gallus	419980	OB_008251	1980	AF_005733||AF_008661
AF_010158	Os02g0580500	Oryza sativa	4329777	OB_008251	1980	AF_005733||AF_008661
AF_010159	NCU08946	Neurospora crassa	3876951	OB_008251	1980	AF_005733||AF_008661
AF_010160	AgaP_AGAP009323	Anopheles gambiae	1271235	OB_008251	1980	AF_005733||AF_008661
AF_010166	MGG_05112	Magnaporthe oryzae	2675568	OB_008253	21783	AF_001226
AF_010167	AGOS_AFL102W	Eremothecium gossypii	4621675	OB_008253	21783	AF_001226
AF_010168	KLLA0B02310g	Kluyveromyces lactis	2897400	OB_008253	21783	AF_001226
AF_010169	NCU06246	Neurospora crassa	3879220	OB_008253	21783	AF_001226
AF_001016	TSC2	Homo sapiens	7249	OB_008939	462	AF_004354
AF_010170	ATK1	Arabidopsis thaliana	827876	OB_008254	83229	AF_000866
AF_010171	ATK2	Arabidopsis thaliana	828826	OB_008254	83229	AF_000866
AF_010172	ncd	Drosophila melanogaster	43517	OB_008254	83229	AF_000866
AF_010173	KIFC1	Homo sapiens	3833	OB_008254	83229	AF_000866
AF_010174	KIFC1	Gallus gallus	417037	OB_008254	83229	AF_000866
AF_010175	MGG_05350	Magnaporthe oryzae	2675839	OB_008254	83229	AF_000866
AF_010176	KIFC1	Canis lupus familiaris	607916	OB_008254	83229	AF_000866
AF_010177	klp2	Schizosaccharomyces pombe	2543360	OB_008254	83229	AF_000866
AF_010178	AGOS_AGR253W	Eremothecium gossypii	4623221	OB_008254	83229	AF_000866
AF_010179	Kifc1	Rattus norvegicus	294286	OB_008254	83229	AF_000866
AF_001017	PPFIA1	Homo sapiens	8500	OB_009514	20802	AF_004923
AF_010180	kifc1	Danio rerio	30453	OB_008254	83229	AF_000866
AF_010181	Os04g0629700	Oryza sativa	4337093	OB_008254	83229	AF_000866
AF_010182	Kifc5b	Mus musculus	16580	OB_008254	83229	AF_000866
AF_010183	Kifc1	Mus musculus	100502766	OB_008254	83229	AF_000866
AF_010184	ATK3	Arabidopsis thaliana	835556	OB_008254	83229	AF_000866
AF_010185	KIFC1	Macaca mulatta	717800	OB_008254	83229	AF_000866
AF_010186	AgaP_AGAP002248	Anopheles gambiae	1269313	OB_008254	83229	AF_000866
AF_010187	KLLA0B10956g	Kluyveromyces lactis	2897518	OB_008254	83229	AF_000866
AF_010188	NCU04581	Neurospora crassa	3874429	OB_008254	83229	AF_000866
AF_010189	KIFC1	Bos taurus	510995	OB_008254	83229	AF_000866
AF_010190	ATK5	Arabidopsis thaliana	825867	OB_008254	83229	AF_000866
AF_010191	KIFC1	Pan troglodytes	462615	OB_008254	83229	AF_000866
AF_010192	CISD2	Gallus gallus	422714	OB_008255	36436	AF_004785
AF_010193	CG1458	Drosophila melanogaster	43459	OB_008255	36436	AF_004785
AF_010194	AgaP_AGAP004484	Anopheles gambiae	1274631	OB_008255	36436	AF_004785
AF_010195	CISD2	Pan troglodytes	100609495	OB_008255	36436	AF_004785
AF_010196	LOC100429989	Macaca mulatta	100429989	OB_008255	36436	AF_004785
AF_010197	CISD2	Bos taurus	781260	OB_008255	36436	AF_004785
AF_010198	LOC100855477	Canis lupus familiaris	100855477	OB_008255	36436	AF_004785
AF_010199	Cisd2	Rattus norvegicus	295457	OB_008255	36436	AF_004785
AF_010200	cisd2	Danio rerio	393354	OB_008255	36436	AF_004785
AF_010201	AGOS_AFR092W	Eremothecium gossypii	4621882	OB_008256	56213	AF_004026
AF_010202	KLLA0F14190g	Kluyveromyces lactis	2894921	OB_008256	56213	AF_004026
AF_010203	CELE_T08D2.7	Caenorhabditis elegans	191613	OB_008257	38289	AF_007978
AF_010204	CHEK2	Bos taurus	518897	OB_008257	38289	AF_007978
AF_010205	NCU02814	Neurospora crassa	3880610	OB_008257	38289	AF_007978
AF_010206	CHEK2	Gallus gallus	768913	OB_008257	38289	AF_007978
AF_010207	CHEK2	Canis lupus familiaris	486338	OB_008257	38289	AF_007978
AF_010208	MGG_01596	Magnaporthe oryzae	2679452	OB_008257	38289	AF_007978
AF_010209	CHEK2	Macaca mulatta	713668	OB_008257	38289	AF_007978
AF_010210	CHEK2	Pan troglodytes	458733	OB_008257	38289	AF_007978
AF_010211	AgaP_AGAP009784	Anopheles gambiae	1279197	OB_008257	38289	AF_007978
AF_010212	IMPA1	Canis lupus familiaris	477925	OB_008258	4043	AF_000770||AF_009415
AF_010213	VTC4	Arabidopsis thaliana	821206	OB_008258	4043	AF_000770||AF_009415
AF_010214	ttx-7	Caenorhabditis elegans	172477	OB_008258	4043	AF_000770||AF_009415
AF_010215	NCU06348	Neurospora crassa	3878521	OB_008258	4043	AF_000770||AF_009415
AF_010216	Os03g0587000	Oryza sativa	4333347	OB_008258	4043	AF_000770||AF_009415
AF_010217	IMPA1	Homo sapiens	3612	OB_008258	4043	AF_000770||AF_009415
AF_010218	impa1	Danio rerio	437018	OB_008258	4043	AF_000770||AF_009415
AF_010219	Impa1	Mus musculus	55980	OB_008258	4043	AF_000770||AF_009415
AF_001021	YLR104W	Saccharomyces cerevisiae	850794	OB_008874	39687	AF_001021
AF_010220	IMPA1	Bos taurus	281865	OB_008258	4043	AF_000770||AF_009415
AF_010221	IMPA1	Macaca mulatta	701959	OB_008258	4043	AF_000770||AF_009415
AF_010222	MGG_06165	Magnaporthe oryzae	2684325	OB_008258	4043	AF_000770||AF_009415
AF_010223	LOC100613673	Pan troglodytes	100613673	OB_008258	4043	AF_000770||AF_009415
AF_010224	Impa1	Rattus norvegicus	83523	OB_008258	4043	AF_000770||AF_009415
AF_010225	CG9391	Drosophila melanogaster	40346	OB_008258	4043	AF_000770||AF_009415
AF_010226	IMPA1	Gallus gallus	420199	OB_008258	4043	AF_000770||AF_009415
AF_010227	AgaP_AGAP006570	Anopheles gambiae	1277154	OB_008258	4043	AF_000770||AF_009415
AF_010228	NCU06424	Neurospora crassa	3873484	OB_008259	117851	AF_004616
AF_010229	MGG_06485	Magnaporthe oryzae	2684640	OB_008259	117851	AF_004616
AF_001022	rpl2102	Schizosaccharomyces pombe	2543337	OB_009014	128048	AF_000976||AF_000977
AF_010230	SPAC21E11.07	Schizosaccharomyces pombe	2541968	OB_008259	117851	AF_004616
AF_010231	AGOS_ABR170W	Eremothecium gossypii	4619228	OB_008259	117851	AF_004616
AF_010232	KLLA0D10681g	Kluyveromyces lactis	2892929	OB_008259	117851	AF_004616
AF_010238	NCU04737	Neurospora crassa	3876510	OB_008261	115734	AF_007681
AF_010239	MGG_02488	Magnaporthe oryzae	2681585	OB_008261	115734	AF_007681
AF_001023	YGL085W	Saccharomyces cerevisiae	852795	OB_008470	5920	AF_001023
AF_010240	AgaP_AGAP011161	Anopheles gambiae	1270768	OB_008262	69456	AF_009451
AF_010241	TKTL2	Macaca mulatta	706986	OB_008262	69456	AF_009451
AF_010242	TKTL2	Bos taurus	509186	OB_008262	69456	AF_009451
AF_010243	NCU03243	Neurospora crassa	3879884	OB_008263	38905	AF_000786
AF_010244	KLLA0C02057g	Kluyveromyces lactis	2892356	OB_008263	38905	AF_000786
AF_010245	AGOS_AFR680W	Eremothecium gossypii	4622517	OB_008263	38905	AF_000786
AF_010246	MGG_04474	Magnaporthe oryzae	2677807	OB_008263	38905	AF_000786
AF_010247	CNOT3	Macaca mulatta	693292	OB_008264	7149	AF_007238
AF_010248	CNOT3	Pan troglodytes	456279	OB_008264	7149	AF_007238
AF_010249	Os03g0652100	Oryza sativa	4333598	OB_008264	7149	AF_007238
AF_001024	PHO85	Saccharomyces cerevisiae	856076	OB_008538	3623	AF_001024||AF_004794
AF_010250	NCU03855	Neurospora crassa	3872012	OB_008264	7149	AF_007238
AF_010251	CNOT3	Bos taurus	527305	OB_008264	7149	AF_007238
AF_010252	l(2)NC136	Drosophila melanogaster	35501	OB_008264	7149	AF_007238
AF_010253	MGG_08101	Magnaporthe oryzae	2678346	OB_008264	7149	AF_007238
AF_010254	AgaP_AGAP009030	Anopheles gambiae	1279988	OB_008264	7149	AF_007238
AF_010255	CNOT3	Canis lupus familiaris	484312	OB_008264	7149	AF_007238
AF_010256	LOC696068	Macaca mulatta	696068	OB_008265	803	AF_001898||AF_001899
AF_010257	Os02g0478700	Oryza sativa	4329362	OB_008265	803	AF_001898||AF_001899
AF_010258	Gm9846	Mus musculus	100043813	OB_008265	803	AF_001898||AF_001899
AF_010259	rps27.2	Danio rerio	393738	OB_008265	803	AF_001898||AF_001899
AF_010260	AT2G45710	Arabidopsis thaliana	819179	OB_008265	803	AF_001898||AF_001899
AF_010261	LOC100614845	Pan troglodytes	100614845	OB_008265	803	AF_001898||AF_001899
AF_010262	RPS27	Bos taurus	615638	OB_008265	803	AF_001898||AF_001899
AF_010263	AgaP_AGAP007157	Anopheles gambiae	1269957	OB_008265	803	AF_001898||AF_001899
AF_010264	RPS27	Canis lupus familiaris	612291	OB_008265	803	AF_001898||AF_001899
AF_010265	NCU00618	Neurospora crassa	3881915	OB_008265	803	AF_001898||AF_001899
AF_010266	MGG_02872	Magnaporthe oryzae	2682425	OB_008265	803	AF_001898||AF_001899
AF_010267	AGOS_ACR065C	Eremothecium gossypii	4619592	OB_008265	803	AF_001898||AF_001899
AF_010268	AT5G47930	Arabidopsis thaliana	834844	OB_008265	803	AF_001898||AF_001899
AF_010269	KLLA0E11661g	Kluyveromyces lactis	2894566	OB_008265	803	AF_001898||AF_001899
AF_010270	Rps27	Mus musculus	57294	OB_008265	803	AF_001898||AF_001899
AF_010271	LOC452745	Pan troglodytes	452745	OB_008265	803	AF_001898||AF_001899
AF_010272	Os04g0346100	Oryza sativa	4335531	OB_008265	803	AF_001898||AF_001899
AF_010273	LOC100334726	Danio rerio	100334726	OB_008266	21249	AF_003959
AF_010274	PIK3CA	Bos taurus	282306	OB_008266	21249	AF_003959
AF_010275	PIK3CA	Macaca mulatta	709959	OB_008266	21249	AF_003959
AF_010276	PIK3CA	Canis lupus familiaris	488084	OB_008266	21249	AF_003959
AF_010277	LOC561737	Danio rerio	561737	OB_008266	21249	AF_003959
AF_010278	PIK3CA	Pan troglodytes	460858	OB_008266	21249	AF_003959
AF_010279	PIK3CA	Gallus gallus	424971	OB_008266	21249	AF_003959
AF_010280	ubh-2	Caenorhabditis elegans	179038	OB_008267	119514	AF_006655||AF_007160
AF_010281	PRDX1	Macaca mulatta	706142	OB_008268	99789	AF_001244
AF_010282	PRDX1	Canis lupus familiaris	475375	OB_008268	99789	AF_001244
AF_010283	KLLA0B01628g	Kluyveromyces lactis	2897244	OB_008268	99789	AF_001244
AF_010284	PRDX1	Pan troglodytes	456537	OB_008268	99789	AF_001244
AF_010285	PRDX1	Gallus gallus	424598	OB_008268	99789	AF_001244
AF_010286	AGOS_AER312W	Eremothecium gossypii	4621381	OB_008268	99789	AF_001244
AF_010287	Prdx1l1	Rattus norvegicus	100363379	OB_008268	99789	AF_001244
AF_010288	PRDX1	Bos taurus	281997	OB_008268	99789	AF_001244
AF_010289	LOC572323	Danio rerio	572323	OB_008269	120218	AF_006529
AF_001028	rpl21	Danio rerio	336568	OB_009014	128048	AF_000976||AF_000977
AF_010290	TUBA8	Gallus gallus	396426	OB_008270	124568	AF_007052
AF_010291	KLLA0D15312g	Kluyveromyces lactis	2892788	OB_008271	130580	AF_009393
AF_010292	KLLA0D08327g	Kluyveromyces lactis	2893221	OB_008272	74798	AF_001331
AF_010293	AGOS_ABL139C	Eremothecium gossypii	4618888	OB_008272	74798	AF_001331
AF_010294	FABP4	Bos taurus	281759	OB_008273	36067	AF_005262||AF_005272
AF_010295	FABP4	Pan troglodytes	464255	OB_008273	36067	AF_005262||AF_005272
AF_010296	FABP4	Gallus gallus	374165	OB_008273	36067	AF_005262||AF_005272
AF_010297	FABP4	Macaca mulatta	701365	OB_008273	36067	AF_005262||AF_005272
AF_010298	SBDS	Pan troglodytes	463942	OB_008274	6438	AF_005852
AF_010299	KLLA0F15532g	Kluyveromyces lactis	2895865	OB_008274	6438	AF_005852
AF_010300	SBDS	Gallus gallus	417477	OB_008274	6438	AF_005852
AF_010301	MGG_05662	Magnaporthe oryzae	2676018	OB_008274	6438	AF_005852
AF_010302	AGOS_AAL154C	Eremothecium gossypii	4618580	OB_008274	6438	AF_005852
AF_010303	NCU00476	Neurospora crassa	3872942	OB_008274	6438	AF_005852
AF_010304	Os08g0107500	Oryza sativa	4344458	OB_008274	6438	AF_005852
AF_010305	SBDS	Canis lupus familiaris	607017	OB_008274	6438	AF_005852
AF_010306	SBDS	Bos taurus	513237	OB_008274	6438	AF_005852
AF_010307	AgaP_AGAP007882	Anopheles gambiae	3291609	OB_008274	6438	AF_005852
AF_010308	LOC100858362	Gallus gallus	100858362	OB_008274	6438	AF_005852
AF_010309	MGG_00901	Magnaporthe oryzae	2674722	OB_008275	131254	AF_006732
AF_001030	MVK	Homo sapiens	4598	OB_009026	372	AF_008856
AF_010310	NCU02252	Neurospora crassa	3876059	OB_008275	131254	AF_006732
AF_010311	LOC100535101	Danio rerio	100535101	OB_008276	74294	AF_007688||AF_009283
AF_010312	Hspa1a	Rattus norvegicus	24472	OB_008276	74294	AF_007688||AF_009283
AF_010313	HSPA1B	Macaca mulatta	677690	OB_008276	74294	AF_007688||AF_009283
