observation_id	entry_id	entry_type	entry_name	species	observation_stable_id	entry_stable_id	lifespan_effect_significant	lifespan_change	lifespan_change_significant	lifespan_measure	allele_types	allele_types_base
85	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000085	AF_009150	increased	20.4255	true	mean	NULL	NULL
86	649	gene	SCH9	Saccharomyces cerevisiae	OB_000086	AF_000649	increased	15.5039	true	mean	deletion / null	unknown
86	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000086	AF_009150	increased	15.5039	true	mean	NULL	NULL
87	649	gene	SCH9	Saccharomyces cerevisiae	OB_000087	AF_000649	increased	41.8605	true	mean	deletion / null	unknown
88	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000088	AF_008594	increased	22.314	true	mean	deletion / null	unknown
89	303	gene	FOB1	Saccharomyces cerevisiae	OB_000089	AF_000303	increased	66.5289	true	mean	deletion / null	unknown
89	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000089	AF_008594	increased	66.5289	true	mean	deletion / null	unknown
90	8660	gene	MSRA	Drosophila melanogaster	OB_000090	AF_008660	increased	0	true		over-expression	unknown
91	303	gene	FOB1	Saccharomyces cerevisiae	OB_000091	AF_000303	increased	22.314	true	mean	deletion / null	unknown
92	303	gene	FOB1	Saccharomyces cerevisiae	OB_000092	AF_000303	increased	116.183	true	mean	deletion / null	unknown
92	649	gene	SCH9	Saccharomyces cerevisiae	OB_000092	AF_000649	increased	116.183	true	mean	deletion / null	unknown
92	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000092	AF_009150	increased	116.183	true	mean	NULL	NULL
93	303	gene	FOB1	Saccharomyces cerevisiae	OB_000093	AF_000303	none	2.44898	false	mean	deletion / null	unknown
93	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000093	AF_008310	none	2.44898	false	mean	deletion / null	unknown
94	303	gene	FOB1	Saccharomyces cerevisiae	OB_000094	AF_000303	increased	33.4694	true	mean	deletion / null	unknown
94	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000094	AF_008310	increased	33.4694	true	mean	deletion / null	unknown
94	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000094	AF_008594	increased	33.4694	true	mean	deletion / null	unknown
95	303	gene	FOB1	Saccharomyces cerevisiae	OB_000095	AF_000303	increased	49.3878	true	mean	deletion / null	unknown
95	649	gene	SCH9	Saccharomyces cerevisiae	OB_000095	AF_000649	increased	49.3878	true	mean	deletion / null	unknown
95	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000095	AF_008310	increased	49.3878	true	mean	deletion / null	unknown
96	8594	gene	TOR1	Saccharomyces cerevisiae	OB_000096	AF_008594	increased	19.2488	true	mean	deletion / null	unknown
97	8011	gene	CIT2	Saccharomyces cerevisiae	OB_000097	AF_008011	none	0	false		over-expression	unknown
98	8661	gene	PHB1	Saccharomyces cerevisiae	OB_000098	AF_008661	decreased	0	true		deletion / null	unknown
99	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000099	AF_008116	increased	35.8491	true	mean	deletion / null	unknown
99	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000099	AF_009150	increased	35.8491	true	mean	NULL	NULL
100	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000100	AF_008116	none	2.83019	false	mean	deletion / null	unknown
101	8011	gene	CIT2	Saccharomyces cerevisiae	OB_000101	AF_008011	none	-1.0989	false	mean	deletion / null	unknown
102	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000102	AF_008116	decreased	-45.283	true	mean	deletion / null	unknown
102	9151	other_factor	rho0	Saccharomyces cerevisiae	OB_000102	AF_009151	decreased	-45.283	true	mean	NULL	NULL
103	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000103	AF_008116	increased	14.6226	true	mean	deletion / null	unknown
103	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000103	AF_009150	increased	14.6226	true	mean	NULL	NULL
103	9151	other_factor	rho0	Saccharomyces cerevisiae	OB_000103	AF_009151	increased	14.6226	true	mean	NULL	NULL
104	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000104	AF_008116	increased	15	true	mean	deletion / null	unknown
104	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000104	AF_009150	increased	15	true	mean	NULL	NULL
105	8116	gene	CYT1	Saccharomyces cerevisiae	OB_000105	AF_008116	increased	45	true	mean	deletion / null	unknown
105	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000105	AF_009150	increased	45	true	mean	NULL	NULL
106	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000106	AF_008310	decreased	-44.1406	true	mean	deletion / null	unknown
106	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000106	AF_009062	decreased	-44.1406	true	mean	NULL	NULL
107	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000107	AF_008310	decreased	-47.2656	true	mean	deletion / null	unknown
108	303	gene	FOB1	Saccharomyces cerevisiae	OB_000108	AF_000303	increased	25.2747	true	mean	deletion / null	unknown
108	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000108	AF_008310	increased	25.2747	true	mean	deletion / null	unknown
108	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000108	AF_009062	increased	25.2747	true	mean	NULL	NULL
108	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000108	AF_009150	increased	25.2747	true	mean	NULL	NULL
109	8144	gene	Ercc2	Mus musculus	OB_000109	AF_008144	decreased	0	true		non-null recessive	unknown
110	303	gene	FOB1	Saccharomyces cerevisiae	OB_000110	AF_000303	increased	61.1722	true	mean	deletion / null	unknown
110	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000110	AF_008310	increased	61.1722	true	mean	deletion / null	unknown
110	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000110	AF_009150	increased	61.1722	true	mean	NULL	NULL
111	303	gene	FOB1	Saccharomyces cerevisiae	OB_000111	AF_000303	none	1.0989	false	mean	deletion / null	unknown
111	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000111	AF_008310	none	1.0989	false	mean	deletion / null	unknown
111	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000111	AF_009062	none	1.0989	false	mean	NULL	NULL
112	303	gene	FOB1	Saccharomyces cerevisiae	OB_000112	AF_000303	none	0.732601	false	mean	deletion / null	unknown
112	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000112	AF_008310	none	0.732601	false	mean	deletion / null	unknown
113	303	gene	FOB1	Saccharomyces cerevisiae	OB_000113	AF_000303	none	2.83401	false		deletion / null	unknown
113	669	gene	HST1	Saccharomyces cerevisiae	OB_000113	AF_000669	none	2.83401	false		deletion / null	unknown
113	671	gene	HST2	Saccharomyces cerevisiae	OB_000113	AF_000671	none	2.83401	false		deletion / null	unknown
113	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000113	AF_008310	none	2.83401	false		deletion / null	unknown
114	303	gene	FOB1	Saccharomyces cerevisiae	OB_000114	AF_000303	increased	26.7206	true		deletion / null	unknown
114	669	gene	HST1	Saccharomyces cerevisiae	OB_000114	AF_000669	increased	26.7206	true		deletion / null	unknown
114	671	gene	HST2	Saccharomyces cerevisiae	OB_000114	AF_000671	increased	26.7206	true		deletion / null	unknown
114	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000114	AF_008310	increased	26.7206	true		deletion / null	unknown
114	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000114	AF_009150	increased	26.7206	true		NULL	NULL
115	303	gene	FOB1	Saccharomyces cerevisiae	OB_000115	AF_000303	increased	70.4453	true		deletion / null	unknown
115	669	gene	HST1	Saccharomyces cerevisiae	OB_000115	AF_000669	increased	70.4453	true		deletion / null	unknown
115	671	gene	HST2	Saccharomyces cerevisiae	OB_000115	AF_000671	increased	70.4453	true		deletion / null	unknown
115	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000115	AF_008310	increased	70.4453	true		deletion / null	unknown
115	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000115	AF_009150	increased	70.4453	true		NULL	NULL
116	303	gene	FOB1	Saccharomyces cerevisiae	OB_000116	AF_000303	increased	76.5182	true		deletion / null	unknown
116	669	gene	HST1	Saccharomyces cerevisiae	OB_000116	AF_000669	increased	76.5182	true		deletion / null	unknown
116	671	gene	HST2	Saccharomyces cerevisiae	OB_000116	AF_000671	increased	76.5182	true		deletion / null	unknown
116	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000116	AF_008310	increased	76.5182	true		deletion / null	unknown
116	9150	other_factor	Dietary restriction	Saccharomyces cerevisiae	OB_000116	AF_009150	increased	76.5182	true		NULL	NULL
117	303	gene	FOB1	Saccharomyces cerevisiae	OB_000117	AF_000303	increased	70.8171	true		deletion / null	unknown
117	594	gene	HXK2	Saccharomyces cerevisiae	OB_000117	AF_000594	increased	70.8171	true		deletion / null	unknown
117	669	gene	HST1	Saccharomyces cerevisiae	OB_000117	AF_000669	increased	70.8171	true		deletion / null	unknown
117	671	gene	HST2	Saccharomyces cerevisiae	OB_000117	AF_000671	increased	70.8171	true		deletion / null	unknown
117	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000117	AF_008310	increased	70.8171	true		deletion / null	unknown
118	303	gene	FOB1	Saccharomyces cerevisiae	OB_000118	AF_000303	increased	5.05837	true		deletion / null	unknown
118	669	gene	HST1	Saccharomyces cerevisiae	OB_000118	AF_000669	increased	5.05837	true		deletion / null	unknown
118	671	gene	HST2	Saccharomyces cerevisiae	OB_000118	AF_000671	increased	5.05837	true		deletion / null	unknown
118	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000118	AF_008310	increased	5.05837	true		deletion / null	unknown
119	594	gene	HXK2	Saccharomyces cerevisiae	OB_000119	AF_000594	increased	24.1245	true		deletion / null	unknown
120	8662	gene	GHR	Mus musculus	OB_000120	AF_008662	increased	0	true		deletion / null	unknown
121	669	gene	HST1	Saccharomyces cerevisiae	OB_000121	AF_000669	none	-0.757576	false	mean	deletion / null	unknown
122	671	gene	HST2	Saccharomyces cerevisiae	OB_000122	AF_000671	none	-0.757576	false	mean	deletion / null	unknown
123	672	gene	hst3	Saccharomyces cerevisiae	OB_000123	AF_000672	decreased	-28.7879	true	mean	deletion / null	unknown
124	8663	gene	hst4	Saccharomyces cerevisiae	OB_000124	AF_008663	none	-2.27273	false	mean	deletion / null	unknown
125	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000125	AF_008310	decreased	-47.3485	true	mean	deletion / null	unknown
126	671	gene	HST2	Saccharomyces cerevisiae	OB_000126	AF_000671	none	-3.93701	false	mean	deletion / null	unknown
127	8664	gene	Mot-2	Homo sapiens	OB_000127	AF_008664	increased	0	true		over-expression	unknown
128	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000128	AF_008310	decreased	-48.659	true	mean	deletion / null	unknown
129	8310	gene	SIR2	Saccharomyces cerevisiae	OB_000129	AF_008310	decreased	-54.023	true	mean	deletion / null	unknown
129	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000129	AF_009062	decreased	-54.023	true	mean	NULL	NULL
130	669	gene	HST1	Saccharomyces cerevisiae	OB_000130	AF_000669	none	0.383142	false	mean	deletion / null	unknown
131	671	gene	HST2	Saccharomyces cerevisiae	OB_000131	AF_000671	none	0.383142	false	mean	deletion / null	unknown
132	672	gene	hst3	Saccharomyces cerevisiae	OB_000132	AF_000672	decreased	-32.9502	true	mean	deletion / null	unknown
133	672	gene	hst3	Saccharomyces cerevisiae	OB_000133	AF_000672	decreased	-83.5249	true	mean	deletion / null	unknown
133	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000133	AF_009062	decreased	-83.5249	true	mean	NULL	NULL
134	672	gene	hst3	Saccharomyces cerevisiae	OB_000134	AF_000672	decreased	-83.908	true	mean	deletion / null	unknown
134	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000134	AF_009062	decreased	-83.908	true	mean	NULL	NULL
135	8663	gene	hst4	Saccharomyces cerevisiae	OB_000135	AF_008663	decreased	-72.7969	true	mean	deletion / null	unknown
135	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000135	AF_009062	decreased	-72.7969	true	mean	NULL	NULL
136	4458	gene	hsp-6	Caenorhabditis elegans	OB_000136	AF_004458	increased	0	true		over-expression	unknown
137	8663	gene	hst4	Saccharomyces cerevisiae	OB_000137	AF_008663	decreased	-49.4253	true	mean	deletion / null	unknown
137	9062	compound	Nicotinamide	Saccharomyces cerevisiae	OB_000137	AF_009062	decreased	-49.4253	true	mean	NULL	NULL
138	8663	gene	hst4	Saccharomyces cerevisiae	OB_000138	AF_008663	none	-2.68199	false	mean	deletion / null	unknown
139	672	gene	hst3	Saccharomyces cerevisiae	OB_000139	AF_000672	decreased	-78.5441	true	mean	deletion / null	unknown
139	8663	gene	hst4	Saccharomyces cerevisiae	OB_000139	AF_008663	decreased	-78.5441	true	mean	deletion / null	unknown
140	672	gene	hst3	Saccharomyces cerevisiae	OB_000140	AF_000672	decreased	-85.8238	true	mean	deletion / null	unknown
140	8663	gene	hst4	Saccharomyces cerevisiae	OB_000140	AF_008663	decreased	-85.8238	true	mean	deletion / null	unknown
